Below are the first nkwall=min(nw,4*S+6)=14 solutions from BO, sorted by imag part, at 26-May-2021 16:02:05
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  
3.100000e-01     5.410521e-05     3.100000e-01     1.000000e-02     -3.089369e-01    2.104148e-03     3.089369e-01     2.104148e-03     4.102117e-01     8.745140e-07     -4.102117e-01    8.745064e-07     -1.449828e-10    2.717401e-07     1.656348e+04     9.540652e-11     -1.750675e+04    1.478009e-11     -1.567197e+04    1.179190e-11     6.809713e-14     7.317229e-14     1.188331e-15     -3.864240e-15    6.664784e-14     -4.029548e-14    -2.255554e-13    -4.804078e-14    -7.642687e-14    -1.319613e-13    -7.030450e-13    -2.271740e-13    
3.200000e-01     5.585054e-05     3.200000e-01     1.000000e-02     3.174604e-01     3.130494e-03     -3.174604e-01    3.130494e-03     1.177346e-11     5.290179e-07     4.252435e-01     2.827456e-07     -4.252435e-01    2.827445e-07     1.656348e+04     5.620811e-11     -1.750677e+04    3.457369e-12     -1.567200e+04    3.429246e-12     1.134336e-13     4.781466e-13     -1.781308e-14    5.104401e-14     1.783674e-15     -1.128563e-15    4.113387e-14     -1.055276e-13    1.190299e-13     -1.441355e-13    -1.024342e-12    -3.533168e-13    
3.300000e-01     5.759587e-05     3.300000e-01     1.000000e-02     -3.256909e-01    4.370858e-03     3.256909e-01     4.370858e-03     3.419741e-10     1.670521e-07     1.656348e+04     2.142339e-10     -1.750680e+04    2.248493e-11     -1.567204e+04    5.502677e-12     1.750680e+04     1.491451e-12     4.506525e-14     4.867614e-13     4.187325e-13     2.722130e-13     2.597912e-13     3.886477e-14     -2.198845e-15    1.936423e-15     -3.138779e-13    -2.191274e-13    1.304585e-13     -2.773706e-13    1.567204e+04     -1.775698e-11    
3.400000e-01     5.934119e-05     3.400000e-01     1.000000e-02     3.335666e-01     5.774990e-03     -3.335666e-01    5.774990e-03     8.197419e-10     1.916604e-07     -1.656348e+04    2.258467e-10     -1.567207e+04    1.426218e-11     1.567207e+04     1.109894e-11     1.521683e-14     1.085455e-13     9.654571e-16     -2.900410e-15    -1.976965e-13    -2.908236e-14    -4.348161e-14    -1.033543e-13    -8.960023e-13    -2.170927e-13    5.676476e-13     -7.883583e-13    -1.750683e+04    -7.982749e-12    1.750683e+04     -1.288207e-11    
3.500000e-01     6.108652e-05     3.500000e-01     1.000000e-02     -3.410493e-01    7.276942e-03     3.410493e-01     7.276942e-03     -2.071860e-11    2.666952e-07     -1.656348e+04    3.267624e-10     1.750685e+04     6.264778e-12     -1.750685e+04    2.163546e-12     1.567210e+04     2.409011e-13     2.989431e-13     2.302538e-13     -1.567210e+04    3.595651e-14     5.957624e-14     1.071954e-14     -8.666042e-16    -3.162362e-15    -4.263594e-14    -9.123659e-14    -2.907179e-13    -9.888322e-14    -2.231851e-13    -3.137702e-13    
3.600000e-01     6.283185e-05     3.600000e-01     1.000000e-02     -3.481260e-01    8.807588e-03     3.481260e-01     8.807588e-03     -3.608008e-11    2.990841e-07     1.656348e+04     1.414197e-10     -1.567214e+04    1.016168e-11     1.567214e+04     8.324051e-12     -1.750688e+04    2.725178e-12     -2.395739e-13    3.892680e-13     -1.116428e-13    1.717387e-13     4.613202e-16     -8.337372e-16    -9.637391e-14    -6.157157e-14    2.971073e-13     -7.951045e-14    6.702377e-14     -1.839300e-13    1.750688e+04     -3.925944e-12    
3.700000e-01     6.457718e-05     3.700000e-01     1.000000e-02     3.548043e-01     1.030417e-02     -3.548043e-01    1.030417e-02     -5.827954e-10    1.622424e-07     1.656348e+04     3.048597e-10     -1.567218e+04    1.675766e-12     -1.750691e+04    1.205005e-12     -4.104415e-14    2.573422e-13     -3.371439e-13    2.046773e-13     1.968162e-13     4.038202e-14     -1.111022e-13    3.733826e-14     2.296444e-15     2.149033e-15     -2.422998e-13    -4.740006e-13    1.567218e+04     -3.211297e-12    1.750691e+04     -4.587401e-12    
3.800000e-01     6.632251e-05     3.800000e-01     1.000000e-02     -3.611057e-01    1.171527e-02     3.611057e-01     1.171527e-02     -1.656348e+04    4.107929e-10     -3.877645e-07    4.076972e-11     1.750694e+04     1.964961e-11     1.567221e+04     1.225051e-11     -7.535408e-13    1.570090e-12     -1.186682e-14    1.634261e-13     1.523315e-15     -2.771442e-16    1.248533e-13     -1.698774e-14    -1.158890e-13    -3.635448e-14    -8.370823e-14    -3.130581e-13    -1.750694e+04    -8.433622e-12    -1.567221e+04    -1.937517e-11    
3.900000e-01     6.806784e-05     3.900000e-01     1.000000e-02     3.670591e-01     1.300200e-02     -3.670591e-01    1.300200e-02     6.873201e-11     3.106442e-07     -1.656348e+04    1.945434e-10     1.567225e+04     2.310008e-11     1.750697e+04     2.831759e-12     1.383141e-13     6.149637e-13     -3.247437e-13    2.093702e-13     2.032138e-13     9.704566e-15     1.411515e-15     -4.434544e-16    -3.409411e-13    -5.346756e-14    4.836525e-14     -1.756521e-13    -1.567225e+04    -7.920984e-12    -1.750697e+04    -2.428616e-11    
4.000000e-01     6.981317e-05     4.000000e-01     1.000000e-02     -3.726962e-01    1.413689e-02     3.726962e-01     1.413689e-02     2.515367e-07     8.500840e-11     1.656348e+04     4.572574e-11     -1.750701e+04    1.942432e-11     -1.567229e+04    7.420174e-12     1.875512e-14     9.316064e-14     -1.403204e-15    -8.342990e-16    1.787855e-13     -3.089489e-14    -3.741870e-13    -4.147140e-14    -6.235893e-14    -9.830377e-14    -8.097283e-13    -3.718193e-13    1.750701e+04     -1.259614e-11    1.567229e+04     -2.282637e-11    
4.100000e-01     7.155850e-05     4.100000e-01     1.000000e-02     3.780485e-01     1.510186e-02     -3.780485e-01    1.510186e-02     1.656348e+04     1.719449e-10     4.845711e-07     4.460024e-11     -1.750704e+04    2.153006e-11     1.750704e+04     1.080154e-11     -1.057087e-13    4.472771e-13     2.201518e-13     7.818502e-14     3.410656e-15     -2.170882e-15    9.694490e-14     -5.427937e-14    2.370141e-13     -5.469857e-14    -3.059906e-13    -7.267648e-14    -1.567233e+04    -1.623554e-11    1.567233e+04     -3.075759e-11    
4.200000e-01     7.330383e-05     4.200000e-01     1.000000e-02     3.831451e-01     1.588602e-02     -3.831451e-01    1.588602e-02     -1.656348e+04    1.132642e-10     -6.983288e-07    1.107979e-10     -1.567238e+04    3.706999e-12     -1.750707e+04    3.090967e-12     1.567238e+04     1.177725e-12     2.850121e-13     2.009525e-13     -1.921403e-13    4.555563e-14     6.923524e-14     8.808103e-15     1.904506e-15     -4.704498e-15    1.750707e+04     -9.061837e-14    -4.739959e-13    -1.879678e-13    6.538394e-14     -2.549192e-13    
4.300000e-01     7.504916e-05     4.300000e-01     1.000000e-02     -3.880124e-01    1.648382e-02     3.880124e-01     1.648382e-02     4.077051e-10     3.582791e-07     1.656348e+04     3.244209e-10     1.567242e+04     1.102755e-11     -1.567242e+04    6.949443e-12     1.006620e-12     4.251015e-13     -3.607105e-14    1.522141e-13     -1.976432e-15    2.771477e-16     7.871008e-14     -4.609014e-14    1.518272e-13     -7.902478e-14    -1.398517e-13    -9.045091e-14    -1.750711e+04    -4.298862e-12    1.750711e+04     -6.017465e-12    
4.400000e-01     7.679449e-05     4.400000e-01     1.000000e-02     3.926738e-01     1.689345e-02     -3.926738e-01    1.689345e-02     1.529327e-10     4.130931e-07     -1.656348e+04    1.651820e-10     1.750714e+04     2.900666e-11     -1.750714e+04    2.574395e-11     -1.997141e-14    1.805593e-13     -1.440017e-13    1.711708e-13     -9.350403e-15    8.105245e-15     4.064029e-14     -2.295476e-14    1.061449e-12     -1.025816e-13    -1.727713e-14    -1.895662e-13    1.567246e+04     -2.254905e-11    -1.567246e+04    -2.580848e-11    
4.500000e-01     7.853982e-05     4.500000e-01     1.000000e-02     -3.971497e-01    1.711570e-02     3.971497e-01     1.711570e-02     3.372388e-10     5.118605e-07     -1.656348e+04    1.187351e-10     -1.567251e+04    2.463029e-11     1.567251e+04     7.507798e-12     2.516516e-13     5.851294e-13     -1.750718e+04    4.327943e-13     1.918371e-13     8.931302e-14     -9.422711e-14    5.951174e-14     -1.413765e-15    -1.125011e-16    3.869261e-13     -4.381403e-14    4.934814e-14     -8.815919e-14    1.750718e+04     -2.122401e-11    
4.600000e-01     8.028515e-05     4.600000e-01     1.000000e-02     -4.014578e-01    1.715311e-02     4.014578e-01     1.715311e-02     9.186199e-08     5.998987e-10     -1.656348e+04    6.490895e-11     -1.750721e+04    1.242611e-11     -1.567255e+04    1.511923e-12     1.750721e+04     1.147584e-12     -3.137818e-13    2.653701e-13     3.213230e-13     1.609276e-13     -3.533810e-14    1.431623e-13     -5.257643e-15    2.247005e-15     7.796493e-14     -1.335148e-13    -1.314082e-12    -8.274936e-13    1.567255e+04     -1.277263e-11    
